IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1155,1771,GSI012,91,Aprovado,1,1,0,1,1,1,0,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,2
1163,2741,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1168,2073,GSI012,70,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
1178,2028,GSI012,67,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
1190,2691,GSI012,74,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1195,2741,GSI012,73,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1209,1929,GSI012,62,Aprovado,1,1,0,0,0,1,1,1,0,1,1,1,0,0,2,1,0,1,1,1,1,1,2
1210,2643,GSI012,61,Aprovado,0,0,1,1,0,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
1229,2028,GSI012,76,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
1260,2545,GSI012,63,Aprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
1275,1771,GSI012,81,Aprovado,1,1,1,0,1,1,1,0,1,0,0,1,0,2,2,1,1,1,0,1,1,1,2
1282,2007,GSI012,21,Reprovado,1,0,0,0,1,1,2,1,1,0,2,2,2,0,2,0,1,2,2,1,1,0,0
1284,2001,GSI012,11,Reprovado,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,1,1,2
1285,2001,GSI012,83,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,2
1291,1956,GSI012,0,Reprovado,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2
1303,1771,GSI012,75,Aprovado,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,0,1,1,1,2
1311,2073,GSI012,61,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
1317,2741,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1319,2378,GSI012,90,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
1321,2168,GSI012,68,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
1325,2073,GSI012,83,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
1326,1926,GSI012,64,Aprovado,1,1,1,0,1,1,1,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1329,2643,GSI012,67,Aprovado,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
1331,2378,GSI012,97,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
1341,2691,GSI012,61,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1342,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1344,2073,GSI012,81,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
1345,2391,GSI012,0,Reprovado,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2
1348,2378,GSI012,0,Reprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
1356,2073,GSI012,66,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
1365,2890,GSI012,62,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1378,2001,GSI012,95,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1404,2391,GSI012,0,Reprovado,1,1,1,1,2,0,0,2,0,0,1,2,2,2,2,2,0,2,2,0,0,0,2
1406,2293,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
1408,1929,GSI012,28,Reprovado,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,1,1,2
1410,2028,GSI012,60,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
1416,2293,GSI012,5,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
