IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
658,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
659,2256,GSI001,74,Aprovado,1,1,1,2,2,1,2,1,2,2,2,1,1,1
660,1957,GSI001,94,Aprovado,1,1,0,2,1,1,1,0,2,1,1,2,1,2
662,2185,GSI001,91,Aprovado,1,1,0,2,0,1,2,1,2,2,2,1,1,0
668,1992,GSI001,68,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,0
669,2328,GSI001,70,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
675,1946,GSI001,75,Aprovado,1,1,1,2,1,1,2,1,2,1,1,0,1,1
676,1886,GSI001,94,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
677,1896,GSI001,84,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
686,2656,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
687,2736,GSI001,93,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
688,2736,GSI001,88,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
694,1884,GSI001,77,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
695,1884,GSI001,75,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
696,1886,GSI001,87,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
697,1886,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
698,1886,GSI001,87,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
700,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
701,2551,GSI001,92,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
702,2656,GSI001,96,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
705,2551,GSI001,76,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
706,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
709,2588,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
710,2407,GSI001,89,Aprovado,1,1,1,1,1,1,2,0,1,1,2,1,1,1
711,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,0,2,2,2,1,1
717,2407,GSI001,89,Aprovado,1,1,1,1,1,1,2,0,1,1,2,1,1,1
719,2407,GSI001,90,Aprovado,1,1,1,1,1,0,2,1,1,1,2,0,1,1
722,2328,GSI001,87,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
723,2328,GSI001,88,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
728,2185,GSI001,95,Aprovado,1,1,1,2,0,1,2,1,2,2,2,1,1,1
730,2185,GSI001,91,Aprovado,1,1,0,2,1,1,2,1,2,2,2,1,1,1
733,2185,GSI001,97,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,1
