IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
376,2413,GSI002,64,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2
377,2493,GSI002,0,Reprovado,1,2,1,2,2,1,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
378,2379,GSI002,0,Reprovado,1,2,0,2,0,0,0,0,2,0,2,2,2,0,2,2,2,2,2,0,2,0,0,0
380,2456,GSI002,76,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2
384,2329,GSI002,93,Aprovado,1,1,1,1,1,1,1,0,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
387,2282,GSI002,59,Reprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
390,2025,GSI002,87,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
392,2026,GSI002,79,Aprovado,1,2,2,2,0,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
393,2005,GSI002,89,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,0,2,2,1,2
395,1947,GSI002,56,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
396,1947,GSI002,80,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
398,1976,GSI002,0,Reprovado,1,2,2,2,2,0,2,2,1,0,2,2,0,0,1,1,2,2,1,0,2,0,0,2
399,1890,GSI002,61,Aprovado,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,2,1,1,0,1,1,2,1,2
400,1916,GSI002,65,Aprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
404,1908,GSI002,73,Aprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
